name,COMMON,gal1RGexp,gal1RGsig,gal4RGexp,gal4RGsig,gal80Rexp,gal80Rsig
YDL194W,SNF3,0.139,0.018043,0.333,0.033961,0.449,0.011348
YDR277C,MTH1,0.243,2.19E-05,0.192,0.028044,0.448,5.73E-04
YBR043C,YBR043C,0.454,5.37E-08,0.023,0.94178,0,0.999999
YPR145W,ASN1,-0.195,3.17E-05,-0.614,1.15E-07,-0.232,0.0011873
YER054C,GIP2,0.057,0.16958,0.206,6.20E-04,0.247,0.0043603
YBR045C,GIP1,0.786,5.59E-06,1.022,1.29E-05,0.94,0.016389
YBL079W,NUP170,-0.186,2.57E-04,-0.032,0.45723,-0.42,2.95E-09
YLR345W,YLR345W,0.108,0.012373,0.234,7.89E-05,0.116,0.073789
YIL052C,RPL34B,-0.258,3.79E-05,-0.451,3.47E-07,-0.025,0.66627
YNL069C,RPL16B,-0.346,2.65E-07,-0.284,5.20E-05,-0.124,0.026888
YDL075W,RPL31A,-0.218,0.0041386,-0.451,1.57E-06,0.056,0.38208
YFR014C,CMK1,0.229,1.14E-05,0.304,8.17E-06,0.047,0.64057
YGR136W,YGR136W,-0.167,2.50E-04,-0.163,0.0042386,-0.204,0.0020376
YDL023C,YDL023C,-0.712,4.56E-11,0.497,1.89E-05,-0.406,1.71E-08
YBR170C,NPL4,0.128,0.0078298,-0.134,0.13454,0.429,0.0016184
YGR074W,SMD1,-0.074,0.11939,-0.133,0.08221,0.029,0.80755
YGL202W,ARO8,-0.305,4.27E-07,-0.286,4.24E-05,-0.536,3.89E-13
YLR197W,SIK1,0.02,0.70174,-0.521,1.08E-05,0.49,3.38E-08
YDL088C,ASM4,0.069,0.091906,-0.074,0.32752,0.124,0.081403
YOR215C,YOR215C,0.151,7.08E-04,0.137,0.010881,0.335,1.27E-04
YPR010C,RPA135,-0.129,0.0032078,-0.394,5.87E-05,-0.359,0.0061199
YMR117C,SPC24,0.093,0.41398,0.371,5.06E-05,-0.296,0.35411
YML114C,YML114C,0.226,4.52E-04,-0.145,0.12134,0.385,0.0058304
YNL036W,NCE103,0.998,4.26E-11,0.506,1.60E-08,0.686,3.33E-07
YOR212W,STE4,-0.189,4.19E-05,-0.256,0.0010135,-0.158,0.023184
YDR070C,YDR070C,-0.915,4.65E-11,0.671,1.49E-04,-0.089,0.1936
YNL164C,YNL164C,0.272,7.39E-04,-0.949,3.85E-05,1.345,5.79E-06
YGR046W,YGR046W,0.158,0.0020954,0.177,5.15E-04,0.124,0.10073
YLR153C,ACS2,-0.042,0.24703,-0.014,0.78003,-0.172,0.011567
YIL070C,MAM33,0.033,0.68369,0.146,0.0033116,-0.339,9.00E-06
YPR113W,PIS1,-0.495,1.05E-09,0.025,0.54593,-0.89,5.62E-18
YER081W,SER3,-0.568,2.53E-10,-0.423,3.04E-05,0.109,0.094304
YGR088W,CTT1,-0.91,1.68E-10,0.596,1.98E-04,-0.394,3.07E-06
YDR395W,SXM1,-0.119,0.021972,0.086,0.5176,-0.214,0.40913
YGR085C,RPL11B,-0.188,2.64E-04,-0.425,7.40E-07,-0.084,0.1613
YER124C,YER124C,0.179,1.85E-04,0.126,0.014038,-0.022,0.76846
YMR005W,MPT1,0.218,5.07E-05,-0.419,1.23E-04,0.571,9.57E-05
YDL030W,PRP9,0.244,2.77E-04,-0.119,0.25629,0.339,0.011822
YER079W,YER079W,-0.174,4.19E-04,-0.267,4.69E-05,-0.046,0.40867
YDL215C,GDH2,0.485,9.07E-09,0.242,0.21914,0,0.999999
YIL045W,PIG2,-0.078,0.056656,0.478,8.88E-07,-0.134,0.072301
YPR041W,TIF5,-0.059,0.11203,-0.243,0.0061997,-0.177,0.011738
YOR120W,GCY1,0.194,9.03E-05,-0.349,1.83E-05,0.576,6.39E-09
YIL074C,SER33,-0.444,4.94E-09,-0.565,2.66E-05,0.393,0.022682
YDR299W,BFR2,0.518,1.61E-07,-0.287,0.20033,0.883,1.02E-04
YHR005C,GPA1,-0.02,0.64417,-0.413,5.03E-05,0.33,0.0031233
YLR452C,SST2,-0.507,2.43E-07,-0.393,6.70E-06,-0.269,0.014595
YMR255W,GFD1,0.211,2.21E-04,-0.159,0.11742,0.397,0.0029074
YBR274W,CHK1,-0.045,0.35655,0.135,0.0049782,-0.052,0.55148
YHR084W,STE12,-0.109,0.014623,-0.541,6.61E-06,0.057,0.65365
YBL050W,SEC17,-0.066,0.11213,-0.044,0.48722,0.106,0.23706
YBL026W,LSM2,-0.032,0.48423,-0.158,0.019199,-0.064,0.59933
YJL194W,CDC6,0.018,0.83635,-0.661,4.50E-05,0.525,0.050004
YLR258W,GSY2,-0.405,4.42E-09,0.4,1.83E-06,-0.487,5.87E-12
YGL134W,PCL10,0.138,0.0020577,-0.548,3.70E-07,0.839,3.76E-07
YHR055C,CUP1B,-0.867,2.88E-06,-0.416,0.026753,0.802,1.97E-12
YHR053C,CUP1A,-0.656,1.67E-04,-0.75,8.46E-04,0.795,1.52E-10
YPR124W,CTR1,0.76,8.42E-11,0.469,2.42E-08,-0.462,8.38E-06
YNL135C,FPR1,-0.071,0.047943,0.08,0.068027,-0.169,0.0016167
YER052C,HOM3,-0.47,4.76E-09,-1.321,1.96E-09,0.579,1.37E-05
YLR284C,ECI1,0.195,0.0052304,-0.148,0.21531,0.716,3.92E-04
YHR198C,YHR198C,-0.053,0.20226,0.401,1.93E-07,-0.379,5.43E-08
YPL240C,HSP82,0.222,1.86E-05,-0.201,0.0024157,-0.661,6.77E-11
YPR102C,RPL11A,-0.177,3.72E-04,-0.38,1.74E-06,-0.058,0.26052
YLR075W,RPL10,-0.169,1.73E-04,-0.2,4.29E-04,-0.002,0.9794
YKL161C,YKL161C,-0.198,7.58E-04,-0.319,0.022048,0.202,0.18731
YAR007C,RFA1,0.2,0.0081844,-0.007,0.91522,-0.302,0.0060792
YIL160C,POT1,1.044,1.07E-06,0.674,3.10E-08,0.92,6.08E-07
YDL078C,MDH3,0.217,4.03E-05,0.102,0.038943,-0.08,0.16505
YDR142C,PEX7,-0.101,0.016464,0.112,0.16704,-0.069,0.401
YDR244W,PEX5,0.369,2.75E-06,-0.021,0.73489,0.483,4.31E-04
YLR432W,YLR432W,-0.197,6.68E-05,-0.054,0.36112,-0.301,4.82E-05
YDR167W,TAF25,0.246,2.18E-04,-0.219,0.0039024,0.355,0.01484
YLR175W,CBF5,0.038,0.47804,-0.597,5.55E-05,0.498,1.41E-07
YNL117W,MLS1,0.973,1.92E-11,0.452,9.03E-05,0.941,1.26E-05
YOR089C,VPS21,0.193,1.17E-04,-0.042,0.32501,0.378,8.22E-06
YPR167C,MET16,-0.066,0.17278,-1.034,1.31E-06,0.708,5.31E-04
YNL214W,PEX17,0.122,0.166,0.041,0.64313,0.199,0.11918
YBR135W,CKS1,0.108,0.0084321,-0.018,0.6558,0.057,0.34065
YML007W,YAP1,0.359,9.24E-08,-0.039,0.42858,0.331,0.0024709
YER110C,KAP123,0.05,0.26052,-0.233,2.96E-04,0.43,3.63E-07
YGL153W,PEX14,0.242,1.30E-04,-0.132,0.077941,0.627,0.0023167
YLR191W,PEX13,0.178,7.69E-04,-0.056,0.58305,0.222,0.097987
YOL149W,DCP1,0.228,9.08E-05,-0.248,0.0015911,0.254,0.059331
YMR044W,YMR044W,0.255,4.45E-05,-0.093,0.15055,0.357,8.82E-04
YOR362C,PRE10,0.036,0.31634,-0.043,0.2984,0.225,0.0013356
YER102W,RPS8B,-0.249,3.27E-05,-0.364,3.66E-06,-0.135,0.017595
YOL059W,GPD2,-0.499,3.38E-08,-0.29,2.38E-05,-0.591,1.53E-09
YBR190W,YBR190W,-0.209,4.51E-05,-0.3,3.88E-04,0.07,0.66515
YER103W,SSA4,-0.405,1.24E-04,0.176,0.013281,-0.826,8.37E-13
YPR110C,RPC40,-0.12,0.0019607,-0.339,1.27E-05,-0.026,0.70564
YNL113W,RPC19,0.304,1.03E-05,-0.979,4.83E-07,0.789,0.0028937
YDR354W,TRP4,-0.122,0.0090277,-0.202,0.0028196,-0.253,0.0012089
YER090W,TRP2,-0.067,0.079619,-0.38,1.97E-05,0.231,0.0015768
YKL211C,TRP3,-0.183,1.66E-04,-0.6,4.27E-07,0.358,1.53E-04
YDR146C,SWI5,-0.19,0.0018541,0.102,0.1065,-0.027,0.76249
YER111C,SWI4,0.195,5.61E-04,-0.105,0.33211,0.16,0.15558
YOR039W,CKB2,-0.006,0.87354,-0.058,0.20402,-0.006,0.92034
YML024W,RPS17A,-0.551,6.97E-11,-0.454,1.55E-06,-0.864,1.31E-12
YIL113W,YIL113W,-0.236,0.002113,0.211,0.002831,-0.137,0.23739
YLL019C,KNS1,0.258,1.38E-05,0.215,6.09E-05,0.295,9.35E-05
YDR009W,GAL3,-0.111,0.01257,-1.004,6.98E-08,0.162,0.16498
YML051W,GAL80,-0.07,0.080275,-0.606,4.39E-08,-1.167,8.20E-17
YHR071W,PCL5,-0.614,5.01E-11,-0.67,4.28E-06,-0.499,6.81E-08
YPL031C,PHO85,-0.106,0.012838,0.125,0.0056375,-0.139,0.019984
YML123C,PHO84,0.283,0.0015163,-0.114,0.019412,0.692,6.96E-07
YER145C,FTR1,0.647,6.62E-09,-0.78,6.33E-05,0.868,5.97E-07
YMR058W,FET3,0.449,3.70E-08,-0.293,4.77E-04,0.64,1.60E-08
YJL190C,RPS22A,-0.444,1.05E-05,-0.443,1.81E-06,-0.184,0.0020712
YML074C,NPI46,0.118,0.02495,-0.38,5.30E-05,0.389,3.32E-05
YOR355W,GDS1,-0.176,1.66E-04,-0.044,0.45777,0.43,0.0062666
YFL038C,YPT1,0.075,0.056883,-0.033,0.44841,0.12,0.073548
YIL162W,SUC2,-0.318,4.14E-07,0.688,1.79E-09,-1.131,1.74E-20
YBR050C,REG2,0.432,6.91E-08,0.679,2.98E-08,0.122,0.28411
YMR311C,GLC8,0.214,0.0015202,0.021,0.64469,0.349,6.56E-06
YOR315W,YOR315W,0.066,0.13594,-0.462,4.72E-06,-0.063,0.50938
YOR178C,GAC1,-0.137,0.0010176,0.462,1.59E-06,-0.187,0.0036854
YER133W,GLC7,0.051,0.20733,-0.085,0.063996,-0.051,0.36616
YOR290C,SNF2,-0.119,0.0030289,-0.101,0.029664,-0.577,3.63E-13
