"Accession_ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1"	"AACY020068177"	"Bacteria"	"Chloroflexi"	"SAR202 clade"	"marine metagenome"	NA	NA	NA
"2"	"AACY020125842"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmatales"	"Marine Group II"	"marine metagenome"	NA
"3"	"AACY020187844"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmatales"	"Marine Group II"	"marine metagenome"	NA
"4"	"AACY020105546"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"PeM15"	"marine metagenome"	NA	NA
"5"	"AACY020281370"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmatales"	"Marine Group II"	"marine metagenome"	NA
"6"	"AACY020147130"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmatales"	"Marine Group II"	"marine metagenome"	NA
"7"	"AACY020207233"	"Bacteria"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"SAR406 clade(Marine group A)"	"marine metagenome"	NA
"8"	"AACY020329935"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	"NS4 marine group"	"marine metagenome"
"9"	"AACY020255495"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"SAR86 clade"	"marine metagenome"	NA
"10"	"AACY020371335"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Order Incertae Sedis"	"Family Incertae Sedis"	"Marinicella"	"marine metagenome"
"11"	"AACY020428427"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmatales"	"Marine Group II"	"marine metagenome"	NA
"12"	"AACY020075636"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"JTB255 marine benthic group"	"marine metagenome"	NA
"13"	"AACY020080403"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"marine metagenome"	NA	NA	NA
"14"	"AACY020095396"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"marine metagenome"	NA	NA
"15"	"AACY020159143"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"MWH-UniP1 aquatic group"	"marine metagenome"
"16"	"AACY020288370"	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	"Sva0996 marine group"	"marine metagenome"	NA
"17"	"AACY020276549"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	"NS5 marine group"	"marine metagenome"
"18"	"AACY020283857"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Deep 1"	"marine metagenome"	NA
"19"	"AACY020430088"	"Bacteria"	"Proteobacteria"	"AEGEAN-245"	"marine metagenome"	NA	NA	NA
"20"	"AACY020431964"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	"NS5 marine group"	"marine metagenome"
"21"	"AACY020302266"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Phyllobacteriaceae"	"Phyllobacterium"	"marine metagenome"
"22"	"AACY020324837"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	"NS4 marine group"	"marine metagenome"
"23"	"AACY020490277"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	"NS5 marine group"	"marine metagenome"
"24"	"AACY020393406"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"SAR86 clade"	"marine metagenome"	NA
"25"	"AACY020518560"	"Bacteria"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"SAR406 clade(Marine group A)"	"marine metagenome"	NA
"26"	"AACY020396101"	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	"OCS155 marine group"	"marine metagenome"	NA
"27"	"AACY020443294"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"Magnetospira"	"marine metagenome"
"28"	"AACY020555729"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	"NS4 marine group"	"marine metagenome"
"29"	"AACY020481938"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"SAR86 clade"	"marine metagenome"	NA
"30"	"AACY020545456"	"Bacteria"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"SAR406 clade(Marine group A)"	"marine metagenome"	NA
"31"	"AACY023403887"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"uncultured"	"marine metagenome"
"32"	"AACY020551516"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 4"	"marine metagenome"	NA
"33"	"AACY020552977"	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Flammeovirgaceae"	"Marinoscillum"	"marine metagenome"
"34"	"AACY020553637"	"Bacteria"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"SAR406 clade(Marine group A)"	"marine metagenome"	NA
"35"	"AACY020556376"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	"NS5 marine group"	"marine metagenome"
"36"	"AACY020562322"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"SAR86 clade"	"marine metagenome"	NA
"37"	"AACY020398456"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"SAR86 clade"	"marine metagenome"	NA
"38"	"AACY020564058"	"Bacteria"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"SAR406 clade(Marine group A)"	"marine metagenome"	NA
