"first_sheet.Phage_id"	"first_sheet.Phage_id_network"	"phage_affiliation"	"Domain"	"DNA_or_RNA"	"Tax_order"	"Tax_subfamily"	"Tax_family"	"Tax_genus"	"Tax_species"
"1"	"109DCM_115804"	"ph_775"	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"109DCM_115804"	"ph_775"	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"109DCM_115804"	"ph_775"	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"109DCM_115804"	"ph_775"	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"109DCM_115804"	"ph_775"	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"109DCM_115804"	"ph_775"	NA	NA	NA	NA	NA	NA	NA	NA
"7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	"109DCM_20494"	"ph_10761"	"Cyanophage 9515-10a"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Podoviridae"	" Autographivirinae"	" unclassified Autographivirinae"	NA
"9"	"109DCM_27309"	"ph_2617"	NA	NA	NA	NA	NA	NA	NA	NA
"10"	"109DCM_27309"	"ph_2617"	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"109DCM_27309"	"ph_2617"	NA	NA	NA	NA	NA	NA	NA	NA
"12"	"109DCM_27822"	"ph_5192"	NA	NA	NA	NA	NA	NA	NA	NA
"13"	"109DCM_29397"	"ph_3323"	NA	NA	NA	NA	NA	NA	NA	NA
"14"	"109DCM_31123"	"ph_9124"	NA	NA	NA	NA	NA	NA	NA	NA
"15"	"109DCM_31305"	"ph_3869"	"Puniceispirillum phage HMO-2011"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Podoviridae"	" unclassified Podoviridae"	NA	NA
"16"	"109SUR_108"	"ph_361"	NA	NA	NA	NA	NA	NA	NA	NA
"17"	"109SUR_108"	"ph_361"	NA	NA	NA	NA	NA	NA	NA	NA
